Region,Age Group,FreeSchoolMeals
East,Infant,0
East Midlands,Infant,0
London,Infant,0
North East,Infant,0
North West,Infant,0
Northern Ireland,Infant,0
Scotland,Infant,0
South East,Infant,0
South West,Infant,0
Wales,Infant,0
West Midlands,Infant,0
Yorkshire & The Humber,Infant,0
East,Nursery,356
East Midlands,Nursery,412
London,Nursery,1782
North East,Nursery,419
North West,Nursery,759
Northern Ireland,Nursery,2309
Scotland,Nursery,90126
South East,Nursery,772
South West,Nursery,910
Wales,Nursery,2345
West Midlands,Nursery,1331
Yorkshire & The Humber,Nursery,460
East,Primary School,174865
East Midlands,Primary School,159094
London,Primary School,303323
North East,Primary School,124915
North West,Primary School,307797
Northern Ireland,Primary School,57674
Scotland,Primary School,217628
South East,Primary School,242226
South West,Primary School,147089
Wales,Primary School,58562
West Midlands,Primary School,258688
Yorkshire & The Humber,Primary School,216853
East,Secondary School,112150
East Midlands,Secondary School,104633
London,Secondary School,244034
North East,Secondary School,80913
North West,Secondary School,199989
Northern Ireland,Secondary School,37646
Scotland,Secondary School,94260
South East,Secondary School,150638
South West,Secondary School,102911
Wales,Secondary School,38226
West Midlands,Secondary School,174835
Yorkshire & The Humber,Secondary School,147956
East,Adult,0
East Midlands,Adult,0
London,Adult,0
North East,Adult,0
North West,Adult,0
Northern Ireland,Adult,0
Scotland,Adult,0
South East,Adult,0
South West,Adult,0
Wales,Adult,0
West Midlands,Adult,0
Yorkshire & The Humber,Adult,0
