name,parliamentary_constituency,latt_long,network,county,region,needs
Trinity,Bury South,"53.5675531,-2.3472279",IFAN,Greater Manchester,North West,
EATS Rosyth,Dunfermline and West Fife,"56.04061,-3.4236392",IFAN,Scotland,Scotland,
The Food Pantry Feltwell,South West Norfolk,"52.48799,0.52345",Independent,Norfolk,East,
Galashiels,"Berwickshire, Roxburgh and Selkirk","55.610066,-2.802619",IFAN,Scotland,Scotland,
Queen's Park Govanhill Parish Church,Glasgow Central,"55.835222,-4.270163",IFAN,Scotland,Scotland,
Illminster,Yeovil,"50.927734,-2.912371",Independent,Somerset,South West,
Burnley Community Kitchen,Burnley,"53.789701,-2.244539",Independent,Lancashire,North West,
North Plymouth,"Plymouth, Moor View","50.422682,-4.101336",Trussell Trust,Devon,South West,"['Fruit Juice (Long Life Cartons)', 'Sponge Puddings', 'Tinned Potatoes', 'UHT Milk', 'Shaving Foam', 'Mens Razors', 'Toilet Paper', 'Small Jars Of Coffee', 'Tinned Rice Pudding', 'Ladies Deodrant', 'Shampoo', 'Cartons Of Fruit Juice']"
Stocksbridge,Penistone and Stocksbridge,"53.482198,-1.591913",Independent,South Yorkshire,Yorkshire & Humber,
E1,Poplar and Limehouse,"51.512139,-0.054376",IFAN,Greater London,London,
Crawley,Crawley,"51.114496,-0.165881",Independent,Surrey,South East,
We Are One Foundation,Cleethorpes,"53.5625537,-0.0379454",Independent,Lincolnshire,Yorkshire & Humber,
Noor,Preston,"53.764996,-2.695264",IFAN,Lancashire,North West,
Living Hope,Bolsover,"53.185101,-1.361782",IFAN,Derbyshire,West Midlands,
Machars Churches,Dumfries and Galloway,"54.961455,-4.491392",IFAN,Scotland,Scotland,
Warrington,Warrington North,"53.387247,-2.587601",Trussell Trust,Cheshire,West Midlands,
Inspiring Grace,Pendle,"53.828268,-2.201221",IFAN,Lancashire,North West,
The Storehouse Congleton,Congleton,"53.165072,-2.222782",Independent,Cheshire,West Midlands,
Borehamwood,Hertsmere,"51.659986,-0.269024",Trussell Trust,Hertfordshire,East,
Alnwick District,Berwick-upon-Tweed,"55.406296,-1.702067",Independent,Northumberland,North East,
Riverside Vineyard Storehouse,Feltham and Heston,"51.443607,-0.40644",IFAN,Greater London,London,"['Cereal (For Children)', 'Rice', 'Oil', 'Sugar', 'Milk', 'Noodles (Pot Noodles)', 'Pulses', 'Tinned Meat', 'Coffee', 'Jam', 'Meatballs', 'Hotdogs', 'Cup A Soup', 'Meat Soups', 'Cooking Sauces (Pasta Or Curry)', 'Tinned Veg, Tomatoes, Soup, Fruit', 'UHT Milk', 'Laundry Detergent', 'Household Cleaning Products (Anti-bac Spray, Washing Up Liquid, Bleach, Disinfectant Sprays Etc.)', 'Toiletries', 'Shampoo', 'Nappies Size 4,5,6 & Baby Wipes', 'Toothpaste & Brushes']"
Godalming,South West Surrey,"51.181835,-0.631681",Independent,Surrey,South East,
Foodshed,Stevenage,"51.905912,-0.214195",Independent,Hertfordshire,East,
Seahaven Storehouse,Lewes,"50.779696,0.114527",Independent,East Sussex,South East,
Malvern Hills,West Worcestershire,"52.124381,-2.305652",Trussell Trust,Worcestershire,West Midlands,"['Tinned Potatoes', 'Tinned Meat', 'Tomato Ketchup', 'Teabags In 40s And 80s', 'Male And Female Deodorant', 'Male And Female Shampoo', 'Washing Up Liquid', 'Nappies Size 5 And 6', 'Tinned Potatoes', 'Tinned Fish', 'Tinned Soup', 'Tinned Custard', 'Tinned Rice Pudding', 'Tinned Fruit in Natural Juice', 'UHT Milk', 'Instant Coffee', 'Jars of Pasta Sauce', 'Jars of Curry Sauce', 'Jars of Jam', 'Longlife Fruit Juice 1L and small cartons', 'Squash', 'Toilet rolls', 'Deodorant', 'Shower Gel']"
Tay Bridgehead,North East Fife,"56.446047,-2.880616",IFAN,Scotland,Scotland,
Leeds South & East,Morley and Outwood,"53.763588,-1.5784946",Trussell Trust,West Yorkshire,Yorkshire & Humber,
