Region,County,Count
East,Bedfordshire,3
East,Cambridgeshire,6
East,Essex,16
East,Hertfordshire,9
East,Norfolk,5
East,Suffolk,6
East Midlands,Leicestershire,7
East Midlands,Northamptonshire,7
East Midlands,Nottinghamshire,14
London,Greater London,44
North East,County Durham,14
North East,NortThe Humberland,1
North East,Tyne and Wear,22
North West,Cumbria,7
North West,Greater Manchester,44
North West,Lancashire,20
North West,Merseyside,14
Northern Ireland,Northern Ireland,16
Scotland,Scotland,63
South East,Berkshire,5
South East,Buckinghamshire,5
South East,East Sussex,6
South East,Hampshire,12
South East,Kent,17
South East,Oxfordshire,4
South East,Surrey,4
South East,West Sussex,5
South West,Bristol,6
South West,Cornwall,6
South West,Devon,7
South West,Dorset,4
South West,Gloucestershire,4
South West,Somerset,10
South West,Wiltshire,4
Wales,Wales,32
West Midlands,Cheshire,17
West Midlands,Derbyshire,9
West Midlands,Herefordshire,1
West Midlands,Shropshire,5
West Midlands,Staffordshire,21
West Midlands,Warwickshire,6
West Midlands,West Midlands,28
West Midlands,Worcestershire,6
Yorkshire & The Humber,East Riding of Yorkshire,9
Yorkshire & The Humber,Lincolnshire,10
Yorkshire & The Humber,North Yorkshire,11
Yorkshire & The Humber,South Yorkshire,26
Yorkshire & The Humber,West Yorkshire,33
