Region,County,Count
East,Bedfordshire,7
East,Cambridgeshire,10
East,Essex,29
East,Hertfordshire,22
East,Norfolk,11
East,Suffolk,8
East Midlands,Leicestershire,18
East Midlands,Northamptonshire,6
East Midlands,Nottinghamshire,35
London,Greater London,308
North East,County Durham,30
North East,NortThe Humberland,4
North East,Tyne and Wear,24
North West,Cumbria,4
North West,Greater Manchester,30
North West,Lancashire,18
North West,Merseyside,13
Northern Ireland,Northern Ireland,12
Scotland,Scotland,78
South East,Berkshire,17
South East,Buckinghamshire,15
South East,East Sussex,22
South East,Hampshire,31
South East,Kent,25
South East,Oxfordshire,15
South East,Surrey,26
South East,West Sussex,17
South West,Bristol,20
South West,Cornwall,8
South West,Devon,19
South West,Dorset,12
South West,Gloucestershire,10
South West,Somerset,14
South West,Wiltshire,11
Wales,Wales,34
West Midlands,Cheshire,21
West Midlands,Derbyshire,20
West Midlands,Herefordshire,2
West Midlands,Shropshire,8
West Midlands,Staffordshire,12
West Midlands,Warwickshire,17
West Midlands,West Midlands,34
West Midlands,Worcestershire,7
Yorkshire & The Humber,East Riding of Yorkshire,18
Yorkshire & The Humber,Lincolnshire,10
Yorkshire & The Humber,North Yorkshire,35
Yorkshire & The Humber,South Yorkshire,28
Yorkshire & The Humber,West Yorkshire,41
