Region,County,Count
East,Bedfordshire,30
East,Cambridgeshire,39
East,Essex,89
East,Hertfordshire,60
East,Norfolk,41
East,Suffolk,32
East Midlands,Leicestershire,40
East Midlands,Northamptonshire,31
East Midlands,Nottinghamshire,46
East Midlands,Rutland,1
Isle of Man,Isle of Man,1
London,Greater London,486
North East,County Durham,23
North East,NortThe Humberland,4
North East,Tyne and Wear,33
North West,Cumbria,15
North West,Greater Manchester,101
North West,Lancashire,59
North West,Merseyside,58
Northern Ireland,Northern Ireland,54
Scotland,Scotland,215
South East,Berkshire,44
South East,Buckinghamshire,48
South East,East Sussex,41
South East,Hampshire,107
South East,Isle of Wight,1
South East,Kent,71
South East,Oxfordshire,31
South East,Surrey,38
South East,West Sussex,49
South West,Bristol,47
South West,Cornwall,20
South West,Devon,54
South West,Dorset,43
South West,Gloucestershire,37
South West,Somerset,41
South West,Wiltshire,36
Wales,Wales,128
West Midlands,Cheshire,50
West Midlands,Derbyshire,33
West Midlands,Herefordshire,6
West Midlands,Shropshire,13
West Midlands,Staffordshire,29
West Midlands,Warwickshire,24
West Midlands,West Midlands,91
West Midlands,Worcestershire,18
Yorkshire & The Humber,East Riding of Yorkshire,21
Yorkshire & The Humber,Lincolnshire,33
Yorkshire & The Humber,North Yorkshire,40
Yorkshire & The Humber,South Yorkshire,48
Yorkshire & The Humber,West Yorkshire,79
