,Region,Supermarket,Waste_in_tonnes
0,East Midlands,Tesco,1488
1,East,Tesco,3670
2,London ,Tesco,6129
3,North East,Tesco,757
4,North West,Tesco,2938
5,Northern Ireland,Tesco,681
6,Scotland,Tesco,2711
7,South East,Tesco,5423
8,South West,Tesco,3506
9,Wales,Tesco,1614
10,West Midlands,Tesco,3329
11,Yorkshire & The Humber,Tesco,2787
12,East Midlands,Asda,1321
13,East,Asda,2122
14,London ,Asda,2075
15,North East,Asda,1745
16,North West,Asda,4009
17,Northern Ireland,Asda,755
18,Scotland,Asda,2971
19,South East,Asda,2736
20,South West,Asda,1934
21,Wales,Asda,1509
22,West Midlands,Asda,4386
23,Yorkshire & The Humber,Asda,4198
24,East Midlands,Sainsbury's,1700
25,East,Sainsbury's,2507
26,London ,Sainsbury's,8877
27,North East,Sainsbury's,1672
28,North West,Sainsbury's,1873
29,Northern Ireland,Sainsbury's,346
30,Scotland,Sainsbury's,2248
31,South East,Sainsbury's,4842
32,South West,Sainsbury's,2709
33,Wales,Sainsbury's,980
34,West Midlands,Sainsbury's,3487
35,Yorkshire & The Humber,Sainsbury's,3804
36,East Midlands,Morrisons,676
37,East,Morrisons,1234
38,London ,Morrisons,823
39,North East,Morrisons,646
40,North West,Morrisons,1528
41,Northern Ireland,Morrisons,147
42,Scotland,Morrisons,1792
43,South East,Morrisons,1351
44,South West,Morrisons,1293
45,Wales,Morrisons,881
46,West Midlands,Morrisons,2056
47,Yorkshire & The Humber,Morrisons,1939
